Route Name,Grade,Ascents
★★ unknown 6,6+,6
Drumul furnicilor,5,6
★★ Godzilla,7-,6
★★ Zador,{FR} 6a,6
★★ Ușureanu,5-,6
★★ Țâgan,7,6
★★★ Greuceanu,7-,6
★ Diagonal,6,6
★★ Abis,7+,6
Zmeul,7+/8-,6
Sörös (Creasta Abruptă),6+,6
★★★ Filarmonica,{FR} 6b,6
★★ Muchia Bondarului,6+,6
★ Broad Peak,{FR} 7a,6
★★ Gemenii I,5,6
★★ Gemenii II,5,6
★ Aromia,6+,6
★★★ Autostrada,3,6
★★ Monkey Bussines,8-,6
★ Papagal în serie,4,6
★★ Baloo,5,6
★★ Samsaru,7-,6
Remat,6,6
★ Maestrul Coborârilor,{FR} 5a,6
★★★ Nușa,8+,6
Silvia,8+/9-,6
Alien Flower,{FR} 6b+/c,6
★★ Humus,5,6
★ Don Costello,9-,6
Laika,{FR} 6b,5
★★★ Baribalu,{FR} 6B+,5
★ Worm hole,{FR} 6b+,5
★★★ Mithic,7+,5
★★★ Jumpy,{FR} 7a+,5
★ Două într-unu,4+,5
★ Crizuță,{FR} 5a,5
★ Dobândă,{FR} 6b+,5
unknown,{FR} 5c+,5
★★ unknown 4,{FR} 6b,5
unknown 5,{FR} 6b,5
★★ Udele,{FR} 6b UIAA:7,5
★★★ ...is life,6-,5
★★★ Cip Cirip,{FR} 6c/c+,5
★★★ unknown 12,{FR} 6c/c+,5
★ Te Dai ori nu te Dai,M8,5
Farfuria Zburătoare,{FR} 6b+,5
★★ Alchimia,6,5
★★★ Mosquitos,FR:6b+,5
★★★ Unreal,FR:7a,5
★★ Fainoșag,8-,5
★ Mă-ta,6+,5
★ Pulbere fină,7-,5
★★ Clipstick on top,7-,5
★★★ Aspirina,{FR} 7b+,5
★★ Rudaru,9,5
Kids on the block,7,5
Cel mai urât,6-,5
★★ Namaste,7+,5
★★★ Zygy,7,5
★★ Meteor,7-,5
Concurs,5- A0 2A,5
★★ Mario,7+,5
★★ Ivan Turbincă,8-,5
★★★ Cărăbuș de M.A.I,7,5
Hop-așa,7-,5
★★ Limax,{FR} 6a,5
★★ Menuet,6+,5
Can Can,7-,5
★ Cirozele,6-,5
Varicelă,5+,5
★ Ascita,6+,5
★ Lobotomia,7+,5
★ Școala 1,3,5
★★★ Hoderr,7-,5
Fisura Cușmei Lapoșului,7 A1 4A,5
★★ Drumul Inginerilor,{FR} 4c,5
★★ Chiciură,7,5
★★ Moșu,5+,5
Axel,6-,5
Pocăitul,5-,5
★★ Paranoia,6+,5
★ ÎN,5+,5
★★ Arcada,{FR} 6a+,5
Mierla,7-,5
★★ Korigența,7/7+,5
★ Didi,{FR} 5a+,5
★★ Valea Țapului,4 1B,5
★★★ Valea Urzicii,2A,5
Titu Fox,{FR} 4c/c+,5
Liviu Grapa,5+,5
Nichipercea,5+,5
★★ Nea Caisă,6+,5
★★ Robin Hood,7,5
★★ Cornet,5,5
★★ Hornul cu Trandafiri,FR:5c,5
★★ Sushi,7,5
★★ Bizkit,7,5
★ Jim Mori în Somn,7+,5
Merișor,7-,5
Micul Șeptar,7-,5
★ Prima școală românească,FR:6a+,5
★★★ Tocilarul,FR:6a+,5
★★★ Creasta Mălinului,5,5
★★ Samurai,6,5
★★★ Musca,M7/8,5
★★ unknown 5,{FR} 5A - B,5
★ Valea Scoruşilor,1A,5
Albișoara Brânei,2A,5
Proastă educație,8-,5
Zulu,6+,5
★★ Spinul,4,5
★★★ Tavanul,5,5
Flamel,5,5
Spuky,8-,5
Demisec,7-,5
★★ Aqua forte,{FR} 6b,5
★★★ Recviem,{FR} 7a+,5
★★ Pe Dos,6+/7-,5
★★ Piciorul Moșului,MIXED:M4 F,5
★★ 12,M4,5
★★ Ocnele mari,4,5
★★ Gilette,6+,5
Hornuleț cu lapte,5+,5
★★ Abcdar DC,6+,5
★★ Tanda,6+,5
Castor,6+,5
Clasic 3,6,5
★ unknown 7,6+,5
Negativ,6,5
★ Aramis 2,6-,5
Portos,6,5
Athos,6,5
Rain,6+,5
Ciao Bambina,7-,5
★ The End,5,5
★ The Nose,5,5
★★ Lapiez direct,7-,5
★★★ Le Slaubeause,7-,5
★ Undeva,6,5
★★ Gland of Bob,7,5
★★ Cireșata,7-,5
★★ Diedrul Cetății,7-,5
★★★ Friends,7,5
★ Cocardas,FR:7a,5
★★ Madame,7+,5
★★ Carstic,{FR} 7a,5
★★★ Geka Genius,8-/8,5
Chipped ★★★ Forță și Impertinență,8-,5
Chipped ★★ Obsession,7+,5
★★★ Vis de vară,7+/8-,5
★ Romance,7-,5
Castor,{FR} 4c,5
★★ Mari,5,5
★★ Luca,7+,5
Votați siguranța,7-,5
★★ Memorial Jenci Bacsi,7,5
★★★ Șogâț,6+,5
★ Pepperroni,6+,5
Păpușoi,6+,5
★★★ Și două buzunare,6-,5
★★ Țancul Retezat,6,5
Burtica,7-,5
★ Lună plină,6+,5
★★ Waltzing Matilda,{FR} 6b,5
Gábor Feri,6- 3B,5
Bamibilici,7/7+,5
Hope of deliverance,4+,5
Hope of deliverance extensie,7+/8-,5
Povestea Porcului,6-,5
★★★ Show Me,FR:6c+,5
Traseu de Inițiere,5+,5
★ Joly,6+,5
★★★ Clasic 1,7,5
★★ Rolling Stones,7,5
★★★ Fisura Calului,6+,5
★★ Doctorat în cățărat,FR:7a+,5
Prâslea,6+,5
★★★ Dintele Cheilor,6+,5
★★★ Storm,7-/7,5
★★ Oreshnik,7+,5
★★★ Beri,FR:6a+,5
Ego,6,5
Toledo,6,5
Odelie,6+,5
Kare,6,5
★★ Picătura Chinezească,6+,5
★ Extrema Stângă,5+,5
... și poarta,5+,5
★★ I.T.,5+,5
Carabela,5,5
★★★ Amurg,6+,5
Sphinx View,{FR} 3c/c+,5
Bear's Eye,{FR} 6a,5
Cățărare pentru toți,5+,5
★★ Tumba,6-,5
★★ Hai că pic,6-,5
★★★ Păstrăv afumat,{FR} 6b,5
★★★ Adina,8-,5
★ Creasta Coarnele Caprei,7-,5
★★★ Ovidiu,8+/9-,5
Regina Maria (Ra),5,5
★★★ Ulise,8,5
★★★ Malț,{FR} 6c+,5
★★ Școala altfel,3+,5
★★★ Mono,{FR} 6C+,4
★ Brontozaur,7-,4
★★ Lili,{FR} 7a,4
★★ Traseu,7,4
★★★ Ciofonea,FR:6c,4
Kids Land,{FR} 3c/c+,4
★★ Tanta,7+,4
★★★ Vita,{FR} 7b+,4
★★ Garfield,7,4
Dale,6,4
Baby,5,4
★★ Westworld,{FR} 7a+,4
★★ Classic,{FR} 5c,4
★ Bacalaureat,7/7+,4
★★★ Red Alert,{FR} 7a+,4
★★ Myosotis,{FR} 6b,4
★★ Grotelor,4+ - 6+ A0 3B,4
★★★ Death Angel,{FR} 7a+/b,4
★★★ Salmonella,{FR} 6b/b+,4
Chipped ★★ Martin,{FR} 6c+/7a,4
Păcală,6,4
★ Tândală,6/6+,4
★★ unknown 2,{FR} 6b,4
★ unknown 6,{FR} 6a+,4
Alfa,7+/8-,4
★★ Centrul de Plasament,{FR} 6b+,4
★★ Trón szék,5,4
★★ Zugreni Icefall,WI4,4
Ice Lure,M10,4
Foton,{FR} 6b,4
Aerata,{FR} 6a,4
★★★ Thanos,8-,4
Brâul de Mijloc,1B,4
★★ Matrix,6,4
Kimono,6,4
★ Fluturașul de stâncă,{FR} 5b,4
★ Mielul,{FR} 5b,4
★ Vipera cu picioare,{FR} 5c+,4
Fisura Centrală,{FR} 6a+ A0,4
★★★ Flash,7+,4
★★★ Sun Side,FR:6b+,4
★★ Big dick toy,7-,4
★ Ilie Măcelaru,7,4
